"","NAME","Year","Month","Day","PRCP","SNOW","SNWD"
"1","HANOVER, NH US",1893,10,29,0,0,NA
"2","HANOVER, NH US",1893,11,1,0,0,NA
"3","HANOVER, NH US",1893,11,2,0,0,NA
"4","HANOVER, NH US",1893,11,3,0.01,0,NA
"5","HANOVER, NH US",1893,11,4,0.07,0,NA
"6","HANOVER, NH US",1893,11,5,0,0,NA
"7","HANOVER, NH US",1893,11,6,0,0,NA
"8","HANOVER, NH US",1893,11,7,0,0,NA
"9","HANOVER, NH US",1893,11,8,0,0,NA
"10","HANOVER, NH US",1893,11,9,0,0,NA
"11","HANOVER, NH US",1893,11,10,0,0,NA
"12","HANOVER, NH US",1893,11,11,0,0,NA
"13","HANOVER, NH US",1893,11,12,0,0,NA
"14","HANOVER, NH US",1893,11,13,0,0,NA
"15","HANOVER, NH US",1893,11,14,0,0,NA
"16","HANOVER, NH US",1893,11,15,0.17,1.3,NA
"17","HANOVER, NH US",1893,11,17,0,0,NA
"18","HANOVER, NH US",1893,11,18,0,0,NA
"19","HANOVER, NH US",1893,11,20,0.06,1,NA
"20","HANOVER, NH US",1893,11,21,0,0,NA
"21","HANOVER, NH US",1893,11,22,0.36,2.5,NA
"22","HANOVER, NH US",1893,11,23,0,0,NA
"23","HANOVER, NH US",1893,11,25,0,0,NA
"24","HANOVER, NH US",1893,11,26,0,0,NA
"25","HANOVER, NH US",1893,11,27,0,0,NA
"26","HANOVER, NH US",1893,11,28,0.27,0,NA
"27","HANOVER, NH US",1893,11,29,0,0,NA
"28","HANOVER, NH US",1893,11,30,0,0,NA
"29","HANOVER, NH US",1893,12,1,0.06,0.5,NA
"30","HANOVER, NH US",1893,12,3,0.9,8,NA
"31","HANOVER, NH US",1893,12,5,0.13,2.5,NA
"32","HANOVER, NH US",1893,12,11,0,0,NA
"33","HANOVER, NH US",1893,12,12,0.07,2.5,NA
"34","HANOVER, NH US",1893,12,16,1.07,6,NA
"35","HANOVER, NH US",1893,12,19,0.06,1,NA
