"","Year","T_yravg","type"
"1",1893,59.9532710280374,"maxtemp"
"2",1893,41.4532710280374,"mintemp"
"3",1894,53.7424657534247,"maxtemp"
"4",1894,35.9671232876712,"mintemp"
"5",1895,53.3736263736264,"maxtemp"
"6",1895,33.9945054945055,"mintemp"
"7",1896,52.7540983606557,"maxtemp"
"8",1896,35.1256830601093,"mintemp"
"9",1897,53.558904109589,"maxtemp"
"10",1897,33.9698630136986,"mintemp"
"11",1898,56.2547945205479,"maxtemp"
"12",1898,34.558904109589,"mintemp"
"13",1899,55.4712328767123,"maxtemp"
"14",1899,32.4246575342466,"mintemp"
"15",1900,55.8416666666667,"maxtemp"
"16",1900,31.8555555555556,"mintemp"
"17",1901,54.8383561643836,"maxtemp"
"18",1901,33.3808219178082,"mintemp"
"19",1902,54.9095890410959,"maxtemp"
"20",1902,32.6465753424658,"mintemp"
"21",1903,56.4630136986301,"maxtemp"
"22",1903,32.1561643835616,"mintemp"
"23",1904,52.4207650273224,"maxtemp"
"24",1904,29.1530054644809,"mintemp"
"25",1905,54.641095890411,"maxtemp"
"26",1905,30.9342465753425,"mintemp"
"27",1906,56.3453038674033,"maxtemp"
"28",1906,31.9254143646409,"mintemp"
"29",1907,53.9807692307692,"maxtemp"
"30",1907,31.1510989010989,"mintemp"
"31",1908,57.2657534246575,"maxtemp"
"32",1908,31.8191780821918,"mintemp"
"33",1909,55.2624309392265,"maxtemp"
"34",1909,32.1795580110497,"mintemp"
"35",1910,55.8846153846154,"maxtemp"
"36",1910,32.3873626373626,"mintemp"
"37",1911,55.9194444444444,"maxtemp"
"38",1911,31.7888888888889,"mintemp"
"39",1912,54.7513661202186,"maxtemp"
"40",1912,31.3606557377049,"mintemp"
"41",1913,58.3471074380165,"maxtemp"
"42",1913,34.6611570247934,"mintemp"
"43",1914,54.6547945205479,"maxtemp"
"44",1914,30.7287671232877,"mintemp"
"45",1915,56.213698630137,"maxtemp"
"46",1915,34.8438356164384,"mintemp"
"47",1916,54.8087431693989,"maxtemp"
"48",1916,32.5956284153005,"mintemp"
"49",1917,52.2191780821918,"maxtemp"
"50",1917,30.8054794520548,"mintemp"
"51",1918,54.9479452054794,"maxtemp"
"52",1918,32.1506849315069,"mintemp"
"53",1919,55.413698630137,"maxtemp"
"54",1919,33.972602739726,"mintemp"
"55",1920,54.4043715846995,"maxtemp"
"56",1920,32.603825136612,"mintemp"
"57",1921,58.186301369863,"maxtemp"
"58",1921,34.6356164383562,"mintemp"
"59",1922,55.372602739726,"maxtemp"
"60",1922,33.1232876712329,"mintemp"
"61",1923,54.9068493150685,"maxtemp"
"62",1923,31.1260273972603,"mintemp"
"63",1924,54.9753424657534,"maxtemp"
"64",1924,31.372602739726,"mintemp"
"65",1925,55.172602739726,"maxtemp"
"66",1925,32.8547945205479,"mintemp"
"67",1926,52.5424657534247,"maxtemp"
"68",1926,31.013698630137,"mintemp"
"69",1927,56,"maxtemp"
"70",1927,34.1397260273973,"mintemp"
"71",1928,54.9644808743169,"maxtemp"
"72",1928,34.7185792349727,"mintemp"
"73",1929,54.9258241758242,"maxtemp"
"74",1929,33.4972527472527,"mintemp"
"75",1930,56.6109589041096,"maxtemp"
"76",1930,34.441095890411,"mintemp"
"77",1931,56.9479452054794,"maxtemp"
"78",1931,35.5835616438356,"mintemp"
"79",1932,56.275956284153,"maxtemp"
"80",1932,34.8224043715847,"mintemp"
"81",1933,55.75,"maxtemp"
"82",1933,34.4340659340659,"mintemp"
"83",1934,54.8489010989011,"maxtemp"
"84",1934,32.532967032967,"mintemp"
