"","NAME","Year","Month","Day","TMAX","TMIN"
"1","HANOVER, NH US",1893,6,1,73,54
"2","HANOVER, NH US",1893,6,2,79,58
"3","HANOVER, NH US",1893,6,3,73,54
"4","HANOVER, NH US",1893,6,4,75,65
"5","HANOVER, NH US",1893,6,5,85,61
"6","HANOVER, NH US",1893,6,6,85,61
"7","HANOVER, NH US",1893,6,7,83,60
"8","HANOVER, NH US",1893,6,8,76,44
"9","HANOVER, NH US",1893,6,9,81,52
"10","HANOVER, NH US",1893,6,10,83,53
"11","HANOVER, NH US",1893,6,11,85,58
"12","HANOVER, NH US",1893,6,12,85,53
"13","HANOVER, NH US",1893,6,13,86,58
"14","HANOVER, NH US",1893,6,14,82,63
"15","HANOVER, NH US",1893,6,15,87,63
"16","HANOVER, NH US",1893,6,16,87,62
"17","HANOVER, NH US",1893,6,17,60,52
"18","HANOVER, NH US",1893,6,18,82,50
"19","HANOVER, NH US",1893,6,19,82,55
"20","HANOVER, NH US",1893,6,20,87,64
"21","HANOVER, NH US",1893,6,21,87,60
"22","HANOVER, NH US",1893,6,22,65,61
"23","HANOVER, NH US",1893,6,23,60,53
"24","HANOVER, NH US",1893,6,24,71,53
"25","HANOVER, NH US",1893,6,25,73,54
"26","HANOVER, NH US",1893,6,26,73,55
"27","HANOVER, NH US",1893,6,27,68,52
"28","HANOVER, NH US",1893,6,28,72,50
"29","HANOVER, NH US",1893,6,29,78,48
"30","HANOVER, NH US",1893,6,30,79,50
"31","HANOVER, NH US",1893,7,1,83,53
"32","HANOVER, NH US",1893,7,2,82,52
"33","HANOVER, NH US",1893,7,3,81,56
"34","HANOVER, NH US",1893,7,4,75,57
"35","HANOVER, NH US",1893,7,5,74,51
"36","HANOVER, NH US",1893,7,6,75,58
"37","HANOVER, NH US",1893,7,7,79,50
"38","HANOVER, NH US",1893,7,8,83,55
"39","HANOVER, NH US",1893,7,9,74,63
"40","HANOVER, NH US",1893,7,10,73,45
"41","HANOVER, NH US",1893,7,11,78,47
"42","HANOVER, NH US",1893,7,12,79,53
"43","HANOVER, NH US",1893,7,13,77,55
"44","HANOVER, NH US",1893,7,14,78,49
"45","HANOVER, NH US",1893,7,15,82,58
"46","HANOVER, NH US",1893,7,16,87,61
"47","HANOVER, NH US",1893,7,17,77,59
"48","HANOVER, NH US",1893,7,18,79,59
"49","HANOVER, NH US",1893,7,19,78,58
"50","HANOVER, NH US",1893,7,20,76,47
"51","HANOVER, NH US",1893,7,21,85,52
"52","HANOVER, NH US",1893,7,22,83,61
