,Sample.Case,Virus,Sample.Type,County,Town,State,Date
519,63,WNV,Mosquito,Dukes,West Tisbury,MA,8/30/22
13,13,WNV,Mosquito,Dukes,Edgartown,MA,7/9/24
396,396,WNV,Mosquito,Dukes,Edgartown,MA,9/3/24
463,7,WNV,Mosquito,Dukes,Edgartown,MA,7/26/22
493,37,WNV,Mosquito,Dukes,Edgartown,MA,8/16/22
507,51,WNV,Mosquito,Dukes,Edgartown,MA,8/23/22
84,84,WNV,Mosquito,Barnstable,Falmouth,MA,7/30/24
164,164,WNV,Mosquito,Barnstable,Falmouth,MA,8/6/24
405,405,WNV,Mosquito,Barnstable,Falmouth,MA,9/4/24
252,252,EEE,Mosquito,Bristol,Westport,MA,8/12/24
366,366,WNV,Mosquito,Bristol,Westport,MA,8/27/24
367,367,WNV,Mosquito,Bristol,Westport,MA,8/27/24
373,373,EEE,Mosquito,Bristol,Westport,MA,8/29/24
397,397,WNV,Mosquito,Bristol,Westport,MA,9/3/24
742,178,WNV,Mosquito,Bristol,Westport,MA,9/25/23
27,27,WNV,Mosquito,Bristol,Dartmouth,MA,7/17/24
133,133,WNV,Mosquito,Bristol,Dartmouth,MA,7/31/24
67,67,WNV,Mosquito,Bristol,New Bedford,MA,7/24/24
132,132,WNV,Mosquito,Bristol,New Bedford,MA,7/31/24
262,262,WNV,Mosquito,Bristol,New Bedford,MA,8/12/24
305,305,WNV,Mosquito,Bristol,New Bedford,MA,8/14/24
340,340,WNV,Mosquito,Bristol,New Bedford,MA,8/21/24
351,351,EEE,Mosquito,Bristol,New Bedford,MA,8/26/24
352,352,EEE,Mosquito,Bristol,New Bedford,MA,8/26/24
26,26,WNV,Mosquito,Bristol,Fairhaven,MA,7/17/24
66,66,WNV,Mosquito,Bristol,Fairhaven,MA,7/24/24
199,199,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/6/24
200,200,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/6/24
201,201,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/6/24
202,202,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/6/24
203,203,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/6/24
310,310,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/18/24
345,345,WNV,Mosquito,Plymouth,Mattapoisett,MA,8/20/24
384,384,EEE,Mosquito,Plymouth,Mattapoisett,MA,8/29/24
385,385,EEE,Mosquito,Plymouth,Mattapoisett,MA,8/29/24
198,198,WNV,Mosquito,Plymouth,Marion,MA,8/6/24
311,311,EEE,Mosquito,Plymouth,Marion,MA,8/18/24
523,67,WNV,Mosquito,Plymouth,Marion,MA,8/26/22
699,140,WNV,Mosquito,Plymouth,Marion,MA,9/13/23
700,141,WNV,Mosquito,Plymouth,Marion,MA,9/13/23
537,81,WNV,Mosquito,Bristol,Fall River,MA,9/1/22
677,118,WNV,Mosquito,Bristol,Fall River,MA,9/7/23
46,46,EEE,Mosquito,Barnstable,Barnstable,MA,7/23/24
355,355,WNV,Mosquito,Barnstable,Barnstable,MA,8/27/24
652,93,WNV,Mosquito,Barnstable,Barnstable,MA,8/24/23
163,163,WNV,Mosquito,Barnstable,Yarmouth,MA,8/6/24
273,273,WNV,Mosquito,Barnstable,Yarmouth,MA,8/13/24
377,377,WNV,Mosquito,Barnstable,Yarmouth,MA,8/29/24
108,108,WNV,Mosquito,Plymouth,Rochester,MA,7/30/24
109,109,WNV,Mosquito,Plymouth,Rochester,MA,7/30/24
110,110,WNV,Mosquito,Plymouth,Rochester,MA,7/30/24
111,111,WNV,Mosquito,Plymouth,Rochester,MA,7/30/24
112,112,WNV,Mosquito,Plymouth,Rochester,MA,7/30/24
247,247,WNV,Mosquito,Plymouth,Rochester,MA,8/6/24
248,248,WNV,Mosquito,Plymouth,Rochester,MA,8/6/24
337,337,EEE,Mosquito,Plymouth,Rochester,MA,8/20/24
338,338,EEE,Mosquito,Plymouth,Rochester,MA,8/20/24
161,161,WNV,Mosquito,Barnstable,Dennis,MA,7/31/24
162,162,WNV,Mosquito,Barnstable,Dennis,MA,8/1/24
328,328,WNV,Mosquito,Barnstable,Dennis,MA,8/15/24
68,68,WNV,Mosquito,Bristol,Swansea,MA,7/25/24
